l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node25-005.cm.cluster,07-04-2023,14:29:46
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node25-005.cm.cluster,07-04-2023,14:29:46
l:2,48,1,52,0,0,2985000,1586000,0,0,2032,10800,2619000000,116000000000,6184000000,123000000000,4916,2171,0,0,2.6,0,0.01,0.05,Apr-07,14:29:46,node25-005.cm.cluster,07-04-2023,14:29:46
l:3,0,0,100,0,0,0,0,130000,10000,0,0,2619000000,116000000000,6184000000,123000000000,325,268,0,0,3.0,0,0.01,0.05,Apr-07,14:29:47,node25-005.cm.cluster,07-04-2023,14:29:47
l:4,0,0,100,0,0,0,0,114000,22080,0,0,2620000000,116000000000,6184000000,123000000000,236,210,0,0,3.0,0,0.01,0.05,Apr-07,14:29:48,node25-005.cm.cluster,07-04-2023,14:29:48
l:5,0,0,100,0,0,0,295000,100000,22080,0,0,2619000000,116000000000,6184000000,123000000000,280,278,0,0,3.0,0,0.01,0.05,Apr-07,14:29:49,node25-005.cm.cluster,07-04-2023,14:29:49
l:6,0,0,100,0,0,0,0,135000,27840,0,0,2620000000,116000000000,6184000000,123000000000,400,412,0,0,3.0,0,0.01,0.05,Apr-07,14:29:50,node25-005.cm.cluster,07-04-2023,14:29:50
l:7,0,0,100,0,0,0,0,111000,22080,0,0,2620000000,116000000000,6184000000,123000000000,285,260,0,0,0,0,0.01,0.05,Apr-07,14:29:51,node25-005.cm.cluster,07-04-2023,14:29:51
l:8,0,0,100,0,0,0,0,124000,24768,0,0,2620000000,116000000000,6184000000,123000000000,301,280,0,0,3.0,0,0.01,0.05,Apr-07,14:29:52,node25-005.cm.cluster,07-04-2023,14:29:52
l:9,0,0,100,0,0,0,0,124000,22080,0,0,2620000000,116000000000,6184000000,123000000000,305,282,0,0,3.0,0,0.01,0.05,Apr-07,14:29:53,node25-005.cm.cluster,07-04-2023,14:29:53
l:10,0,0,100,0,0,0,0,88000,22080,0,0,2620000000,116000000000,6184000000,123000000000,272,324,0,0,3.0,0,0.01,0.05,Apr-07,14:29:54,node25-005.cm.cluster,07-04-2023,14:29:54
l:11,0,0,100,0,0,0,0,103000,22080,0,0,2620000000,116000000000,6184000000,123000000000,268,248,0,0,3.0,0,0.01,0.05,Apr-07,14:29:55,node25-005.cm.cluster,07-04-2023,14:29:55
l:12,0,0,100,0,0,0,197000,128000,51904,0,0,2620000000,116000000000,6184000000,123000000000,297,296,0,0,0,0,0.01,0.05,Apr-07,14:29:56,node25-005.cm.cluster,07-04-2023,14:29:56
l:13,0,0,100,0,0,0,0,93000,22080,0,0,2620000000,116000000000,6184000000,123000000000,255,266,0,0,3.0,0,0.01,0.05,Apr-07,14:29:57,node25-005.cm.cluster,07-04-2023,14:29:57
l:14,0,0,100,0,0,0,0,104000,22080,0,0,2620000000,116000000000,6184000000,123000000000,330,366,0,0,3.0,0,0.01,0.05,Apr-07,14:29:58,node25-005.cm.cluster,07-04-2023,14:29:58
l:15,0,0,100,0,0,0,0,90000,22080,0,0,2620000000,116000000000,6184000000,123000000000,287,327,0,0,3.0,0,0.01,0.05,Apr-07,14:29:59,node25-005.cm.cluster,07-04-2023,14:29:59
l:16,0,0,100,0,0,0,0,81000,22080,0,0,2620000000,116000000000,6184000000,123000000000,264,290,0,0,3.0,0,0.01,0.05,Apr-07,14:30:00,node25-005.cm.cluster,07-04-2023,14:30:00
l:17,0,0,100,0,0,0,229000,100000,22080,0,0,2620000000,116000000000,6184000000,123000000000,259,293,0,0,1.0,0,0.01,0.05,Apr-07,14:30:01,node25-005.cm.cluster,07-04-2023,14:30:01
l:18,0,0,100,0,0,0,0,100000,26304,0,0,2620000000,116000000000,6184000000,123000000000,325,382,0,0,3.0,0,0.01,0.05,Apr-07,14:30:02,node25-005.cm.cluster,07-04-2023,14:30:02
l:19,0,0,100,0,0,0,0,105000,26304,0,0,2620000000,116000000000,6184000000,123000000000,313,326,0,0,3.0,0,0.01,0.05,Apr-07,14:30:03,node25-005.cm.cluster,07-04-2023,14:30:03
l:20,0,0,100,0,0,0,0,95000,22080,0,0,2620000000,116000000000,6184000000,123000000000,253,283,0,0,3.0,0,0.01,0.05,Apr-07,14:30:04,node25-005.cm.cluster,07-04-2023,14:30:04
l:21,0,0,100,0,0,0,0,119000,22080,0,0,2620000000,116000000000,6184000000,123000000000,304,296,0,0,3.0,0,0.01,0.05,Apr-07,14:30:05,node25-005.cm.cluster,07-04-2023,14:30:05
l:22,2,2,96,0,0,0,229000,661000,278000,0,0,3160000000,116000000000,6192000000,122000000000,13000,39000,15,0,138,0,0.01,0.05,Apr-07,14:30:06,node25-005.cm.cluster,07-04-2023,14:30:06
l:23,38,8,55,0,0,0,0,142000,37000,0,0,3407000000,115000000000,6193000000,122000000000,38000,384000,18,0,849,0,0.01,0.05,Apr-07,14:30:07,node25-005.cm.cluster,07-04-2023,14:30:07
l:24,39,11,50,0,0,0,0,100000,22080,0,0,3412000000,115000000000,6193000000,122000000000,41000,575000,18,0,3.0,0,0.01,0.05,Apr-07,14:30:08,node25-005.cm.cluster,07-04-2023,14:30:08
