l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node27-004.cm.cluster,19-04-2023,14:08:38
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node27-004.cm.cluster,19-04-2023,14:08:38
l:2,38,1,61,1,0,7363000,3071000,0,0,0,0,744,2464,2633000000,119000000000,3165000000,122000000000,3459,2787,0,0,2.6,0,0.01,0.42,Apr-19,14:08:38,node27-004.cm.cluster,19-04-2023,14:08:38
l:3,0,0,100,0,0,0,0,62000,10000,0,0,0,0,2634000000,119000000000,3165000000,122000000000,201,231,0,0,3.0,0,0.01,0.42,Apr-19,14:08:39,node27-004.cm.cluster,19-04-2023,14:08:39
l:4,0,0,100,0,0,0,0,156000,22976,20992,0,0,0,2634000000,119000000000,3165000000,122000000000,296,242,0,0,0,0,0.01,0.42,Apr-19,14:08:40,node27-004.cm.cluster,19-04-2023,14:08:40
l:5,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2634000000,119000000000,3165000000,122000000000,260,227,0,0,3.0,0,0.01,0.42,Apr-19,14:08:41,node27-004.cm.cluster,19-04-2023,14:08:41
l:6,0,0,100,0,0,0,0,86000,22976,0,0,0,0,2634000000,119000000000,3165000000,122000000000,228,235,0,0,3.0,0,0.01,0.42,Apr-19,14:08:42,node27-004.cm.cluster,19-04-2023,14:08:42
l:7,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2634000000,119000000000,3165000000,122000000000,267,248,0,0,3.0,0,0.01,0.42,Apr-19,14:08:43,node27-004.cm.cluster,19-04-2023,14:08:43
l:8,1,1,99,0,0,0,0,103000,190000,20992,0,0,0,2636000000,119000000000,3165000000,122000000000,4227,5834,0,0,3.0,0,0.01,0.42,Apr-19,14:08:44,node27-004.cm.cluster,19-04-2023,14:08:44
l:9,0,0,100,0,0,0,0,86000,22976,0,0,0,0,2636000000,119000000000,3165000000,122000000000,229,306,0,0,0,0,0.01,0.42,Apr-19,14:08:45,node27-004.cm.cluster,19-04-2023,14:08:45
l:10,0,0,100,0,0,0,0,106000,22976,0,0,0,0,2635000000,119000000000,3165000000,122000000000,254,235,0,0,3.0,0,0.01,0.41,Apr-19,14:08:46,node27-004.cm.cluster,19-04-2023,14:08:46
l:11,0,0,100,0,0,0,0,98000,22976,0,0,0,0,2635000000,119000000000,3165000000,122000000000,251,245,0,0,3.0,0,0.01,0.41,Apr-19,14:08:47,node27-004.cm.cluster,19-04-2023,14:08:47
l:12,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2635000000,119000000000,3165000000,122000000000,239,211,0,0,3.0,0,0.01,0.41,Apr-19,14:08:48,node27-004.cm.cluster,19-04-2023,14:08:48
l:13,0,0,100,0,0,0,0,101000,22976,0,0,0,0,2635000000,119000000000,3165000000,122000000000,216,197,0,0,3.0,0,0.01,0.41,Apr-19,14:08:49,node27-004.cm.cluster,19-04-2023,14:08:49
l:14,0,0,100,0,0,0,1999000,95000,22976,20992,0,0,0,2635000000,119000000000,3165000000,122000000000,250,243,0,0,0,0,0.01,0.41,Apr-19,14:08:50,node27-004.cm.cluster,19-04-2023,14:08:50
l:15,0,0,100,0,0,0,0,128000,22976,20992,0,0,0,2635000000,119000000000,3165000000,122000000000,271,232,0,0,3.0,0,0.01,0.41,Apr-19,14:08:51,node27-004.cm.cluster,19-04-2023,14:08:51
l:16,0,0,100,0,0,0,0,98000,22976,0,0,0,0,2635000000,119000000000,3165000000,122000000000,240,192,0,0,3.0,0,0.01,0.41,Apr-19,14:08:52,node27-004.cm.cluster,19-04-2023,14:08:52
l:17,37,5,58,0,0,3768000,0,1878000,288000,0,0,0,0,6714000000,115000000000,3165000000,118000000000,23000,34000,222,0,664,0,0.01,0.41,Apr-19,14:08:53,node27-004.cm.cluster,19-04-2023,14:08:53
l:18,100,0,0,0,0,0,0,176000,64000,0,0,0,0,6717000000,115000000000,3166000000,118000000000,44000,22000,167,0,3.0,0,0.01,0.41,Apr-19,14:08:54,node27-004.cm.cluster,19-04-2023,14:08:54
l:19,100,0,0,0,0,0,66000,104000,22976,0,0,0,0,6716000000,115000000000,3166000000,118000000000,44000,21000,167,0,1.0,0,0.01,0.41,Apr-19,14:08:55,node27-004.cm.cluster,19-04-2023,14:08:55
l:20,100,0,0,0,0,0,33000,131000,22976,0,0,0,0,6716000000,115000000000,3166000000,118000000000,44000,22000,195,0,4.0,10.0,2.09,1.08,Apr-19,14:08:56,node27-004.cm.cluster,19-04-2023,14:08:56
l:21,100,0,0,0,0,0,0,141000,45504,0,0,0,0,6716000000,115000000000,3166000000,118000000000,44000,22000,222,0,3.0,10.0,2.09,1.08,Apr-19,14:08:57,node27-004.cm.cluster,19-04-2023,14:08:57
l:22,100,0,0,0,0,0,262000,100000,22976,0,0,0,0,6716000000,115000000000,3166000000,118000000000,44000,21000,124,0,4.0,10.0,2.09,1.08,Apr-19,14:08:58,node27-004.cm.cluster,19-04-2023,14:08:58
l:23,100,0,0,0,0,0,786000,134000,31424,20992,0,0,0,6716000000,115000000000,3166000000,118000000000,44000,22000,287,0,3.0,10.0,2.09,1.08,Apr-19,14:08:59,node27-004.cm.cluster,19-04-2023,14:08:59
l:24,100,0,0,0,0,0,0,119000,22976,20992,0,0,0,6716000000,115000000000,3166000000,118000000000,43000,22000,201,0,0,10.0,2.09,1.08,Apr-19,14:09:00,node27-004.cm.cluster,19-04-2023,14:09:00
l:25,100,0,0,0,0,0,0,109000,22976,0,0,0,0,6716000000,115000000000,3166000000,118000000000,44000,21000,159,0,3.0,27.6,5.87,2.31,Apr-19,14:09:01,node27-004.cm.cluster,19-04-2023,14:09:01
l:26,100,0,0,0,0,0,0,119000,22976,0,0,0,0,6716000000,115000000000,3166000000,118000000000,43000,21000,147,0,3.0,27.6,5.87,2.31,Apr-19,14:09:02,node27-004.cm.cluster,19-04-2023,14:09:02
l:27,100,0,0,0,0,0,0,95000,22976,0,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,22000,179,0,3.0,27.6,5.87,2.31,Apr-19,14:09:03,node27-004.cm.cluster,19-04-2023,14:09:03
l:28,100,0,0,0,0,0,0,109000,22976,0,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,22000,205,0,3.0,27.6,5.87,2.31,Apr-19,14:09:04,node27-004.cm.cluster,19-04-2023,14:09:04
l:29,99,1,0,0,0,0,0,109000,22976,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,45000,21000,198,0,0,27.6,5.87,2.31,Apr-19,14:09:05,node27-004.cm.cluster,19-04-2023,14:09:05
l:30,100,0,0,0,0,0,0,85000,22976,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,45000,21000,162,0,3.0,41.1,9.03,3.35,Apr-19,14:09:06,node27-004.cm.cluster,19-04-2023,14:09:06
l:31,100,0,0,0,0,0,0,95000,22976,24576,0,0,0,6715000000,115000000000,3166000000,118000000000,45000,22000,178,0,3.0,41.1,9.03,3.35,Apr-19,14:09:07,node27-004.cm.cluster,19-04-2023,14:09:07
l:32,100,0,0,0,0,0,0,88000,22976,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,22000,249,0,3.0,41.1,9.03,3.35,Apr-19,14:09:08,node27-004.cm.cluster,19-04-2023,14:09:08
l:33,100,0,0,0,0,0,426000,72000,22976,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,45000,21000,130,0,3.0,41.1,9.03,3.35,Apr-19,14:09:09,node27-004.cm.cluster,19-04-2023,14:09:09
l:34,100,0,0,0,0,0,0,108000,38592,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,45000,22000,146,0,0,41.1,9.03,3.35,Apr-19,14:09:10,node27-004.cm.cluster,19-04-2023,14:09:10
l:35,100,0,0,0,0,0,0,146000,22976,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,46000,22000,200,0,3.0,54.1,12.2,4.42,Apr-19,14:09:11,node27-004.cm.cluster,19-04-2023,14:09:11
l:36,100,0,0,0,0,0,0,107000,22976,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,22000,188,0,3.0,54.1,12.2,4.42,Apr-19,14:09:12,node27-004.cm.cluster,19-04-2023,14:09:12
l:37,100,0,0,0,0,0,0,80000,22976,3584,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,21000,164,0,3.0,54.1,12.2,4.42,Apr-19,14:09:13,node27-004.cm.cluster,19-04-2023,14:09:13
l:38,100,0,0,0,0,0,0,136000,31424,0,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,21000,174,0,3.0,54.1,12.2,4.42,Apr-19,14:09:14,node27-004.cm.cluster,19-04-2023,14:09:14
l:39,100,0,0,0,0,0,0,132000,22976,20992,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,22000,267,0,0,54.1,12.2,4.42,Apr-19,14:09:15,node27-004.cm.cluster,19-04-2023,14:09:15
l:40,100,0,0,0,0,0,0,68000,22976,0,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,21000,230,0,3.0,65.5,15.3,5.46,Apr-19,14:09:16,node27-004.cm.cluster,19-04-2023,14:09:16
l:41,100,0,0,0,0,0,0,119000,22976,0,0,0,0,6715000000,115000000000,3166000000,118000000000,44000,22000,204,0,3.0,65.5,15.3,5.46,Apr-19,14:09:17,node27-004.cm.cluster,19-04-2023,14:09:17
l:42,100,0,0,0,0,0,0,143000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,43000,21000,161,0,3.0,65.5,15.3,5.46,Apr-19,14:09:18,node27-004.cm.cluster,19-04-2023,14:09:18
l:43,100,0,0,0,0,0,0,76000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,21000,183,0,3.0,65.5,15.3,5.46,Apr-19,14:09:19,node27-004.cm.cluster,19-04-2023,14:09:19
l:44,100,0,0,0,0,0,98000,107000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,22000,252,0,0,65.5,15.3,5.46,Apr-19,14:09:20,node27-004.cm.cluster,19-04-2023,14:09:20
l:45,100,0,0,0,0,0,0,117000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,21000,164,0,3.0,77.2,18.6,6.56,Apr-19,14:09:21,node27-004.cm.cluster,19-04-2023,14:09:21
l:46,100,0,0,0,0,0,0,105000,38208,0,14592,0,0,6714000000,115000000000,3166000000,118000000000,45000,22000,169,0,3.0,77.2,18.6,6.56,Apr-19,14:09:22,node27-004.cm.cluster,19-04-2023,14:09:22
l:47,100,0,0,0,0,0,0,128000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,21000,159,0,3.0,77.2,18.6,6.56,Apr-19,14:09:23,node27-004.cm.cluster,19-04-2023,14:09:23
l:48,100,0,0,0,0,0,393000,119000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,45000,22000,191,0,3.0,77.2,18.6,6.56,Apr-19,14:09:24,node27-004.cm.cluster,19-04-2023,14:09:24
l:49,100,0,0,0,0,0,918000,124000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,22000,229,0,0,77.2,18.6,6.56,Apr-19,14:09:25,node27-004.cm.cluster,19-04-2023,14:09:25
l:50,100,0,0,0,0,0,197000,110000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,21000,185,0,3.0,83.2,20.8,7.35,Apr-19,14:09:26,node27-004.cm.cluster,19-04-2023,14:09:26
l:51,100,0,0,0,0,0,0,119000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,22000,256,0,3.0,83.2,20.8,7.35,Apr-19,14:09:27,node27-004.cm.cluster,19-04-2023,14:09:27
l:52,100,0,0,0,0,0,6947000,114000,22976,0,0,0,0,6714000000,115000000000,3166000000,118000000000,44000,22000,132,0,3.0,83.2,20.8,7.35,Apr-19,14:09:28,node27-004.cm.cluster,19-04-2023,14:09:28
l:53,100,0,0,0,0,0,0,96000,31424,0,0,0,0,6713000000,115000000000,3166000000,118000000000,45000,22000,193,0,3.0,83.2,20.8,7.35,Apr-19,14:09:29,node27-004.cm.cluster,19-04-2023,14:09:29
l:54,100,0,0,0,0,0,0,124000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,22000,227,0,0,83.2,20.8,7.35,Apr-19,14:09:30,node27-004.cm.cluster,19-04-2023,14:09:30
l:55,100,0,0,0,0,0,0,100000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,21000,209,0,3.0,93.2,23.9,8.43,Apr-19,14:09:31,node27-004.cm.cluster,19-04-2023,14:09:31
l:56,100,0,0,0,0,0,0,61000,45504,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,21000,208,0,3.0,93.2,23.9,8.43,Apr-19,14:09:32,node27-004.cm.cluster,19-04-2023,14:09:32
l:57,100,0,0,0,0,0,0,126000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,43000,22000,241,0,3.0,93.2,23.9,8.43,Apr-19,14:09:33,node27-004.cm.cluster,19-04-2023,14:09:33
l:58,100,0,0,0,0,0,0,100000,25664,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,22000,172,0,3.0,93.2,23.9,8.43,Apr-19,14:09:34,node27-004.cm.cluster,19-04-2023,14:09:34
l:59,100,0,0,0,0,0,0,73000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,22000,153,0,0,93.2,23.9,8.43,Apr-19,14:09:35,node27-004.cm.cluster,19-04-2023,14:09:35
l:60,100,0,0,0,0,0,0,100000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,22000,215,0,3.0,103,27.0,9.52,Apr-19,14:09:36,node27-004.cm.cluster,19-04-2023,14:09:36
l:61,100,0,0,0,0,0,0,122000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,22000,253,0,3.0,103,27.0,9.52,Apr-19,14:09:37,node27-004.cm.cluster,19-04-2023,14:09:37
l:62,100,0,0,0,0,0,0,62000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,21000,236,0,3.0,103,27.0,9.52,Apr-19,14:09:38,node27-004.cm.cluster,19-04-2023,14:09:38
l:63,100,0,0,0,0,0,0,91000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,22000,157,0,3.0,103,27.0,9.52,Apr-19,14:09:39,node27-004.cm.cluster,19-04-2023,14:09:39
l:64,100,0,0,0,0,0,0,110000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,21000,171,0,0,103,27.0,9.52,Apr-19,14:09:40,node27-004.cm.cluster,19-04-2023,14:09:40
l:65,100,0,0,0,0,0,0,105000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,21000,228,0,3.0,111,29.9,10.6,Apr-19,14:09:41,node27-004.cm.cluster,19-04-2023,14:09:41
l:66,100,0,0,0,0,0,0,89000,22976,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,22000,186,0,3.0,111,29.9,10.6,Apr-19,14:09:42,node27-004.cm.cluster,19-04-2023,14:09:42
l:67,100,0,0,0,0,0,0,63000,28736,0,0,0,0,6713000000,115000000000,3166000000,118000000000,44000,21000,130,0,3.0,111,29.9,10.6,Apr-19,14:09:43,node27-004.cm.cluster,19-04-2023,14:09:43
l:68,99,1,0,0,0,0,0,74000,193000,0,0,0,0,6715000000,115000000000,3166000000,118000000000,47000,25000,257,0,5.0,111,29.9,10.6,Apr-19,14:09:44,node27-004.cm.cluster,19-04-2023,14:09:44
