l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-003.cm.cluster,13-04-2023,18:43:53
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-003.cm.cluster,13-04-2023,18:43:53
l:2,37,8,55,0,0,2681000,661000,0,0,1400,8104,2376000000,119000000000,4124000000,123000000000,4707,12000,0,0,2,1,6,6,Apr-13,18:43:53,node29-003.cm.cluster,13-04-2023,18:43:53
l:3,0,0,100,0,0,0,98000,81000,77376,0,0,2377000000,119000000000,4124000000,123000000000,297,375,0,0,3,1,6,6,Apr-13,18:43:54,node29-003.cm.cluster,13-04-2023,18:43:54
l:4,0,0,100,0,0,0,0,103000,22080,0,0,2377000000,119000000000,4124000000,123000000000,255,226,0,0,3,1,6,6,Apr-13,18:43:55,node29-003.cm.cluster,13-04-2023,18:43:55
l:5,0,0,100,0,0,0,16000,79000,22080,0,0,2384000000,119000000000,4124000000,123000000000,219,208,0,0,3,1,6,6,Apr-13,18:43:56,node29-003.cm.cluster,13-04-2023,18:43:56
l:6,1,0,99,0,0,0,0,136000,18000,0,0,2386000000,119000000000,4124000000,123000000000,951,472,0,0,13,1,6,6,Apr-13,18:43:57,node29-003.cm.cluster,13-04-2023,18:43:57
l:7,0,0,100,0,0,0,0,101000,26304,0,0,2384000000,119000000000,4124000000,123000000000,307,322,0,0,3,1,6,6,Apr-13,18:43:58,node29-003.cm.cluster,13-04-2023,18:43:58
l:8,0,0,100,0,0,0,0,91000,22080,0,0,2385000000,119000000000,4124000000,123000000000,213,192,0,0,0,1,6,6,Apr-13,18:43:59,node29-003.cm.cluster,13-04-2023,18:43:59
l:9,0,0,100,0,0,0,0,91000,22080,0,0,2384000000,119000000000,4124000000,123000000000,241,230,0,0,3,1,6,6,Apr-13,18:44:00,node29-003.cm.cluster,13-04-2023,18:44:00
l:10,0,0,100,0,0,0,0,110000,22080,0,0,2384000000,119000000000,4124000000,123000000000,261,218,0,0,3,0,6,6,Apr-13,18:44:01,node29-003.cm.cluster,13-04-2023,18:44:01
l:11,0,0,100,0,0,0,0,100000,22080,0,0,2384000000,119000000000,4124000000,123000000000,281,294,0,0,3,0,6,6,Apr-13,18:44:02,node29-003.cm.cluster,13-04-2023,18:44:02
