l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-002.cm.cluster,13-04-2023,18:40:07
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-002.cm.cluster,13-04-2023,18:40:07
l:2,37,8,55,0,0,549000,838000,0,0,1256,7944,2387000000,117000000000,6227000000,123000000000,4602,4177,0,0,2.6,3.28,12.7,7.54,Apr-13,18:40:07,node29-002.cm.cluster,13-04-2023,18:40:07
l:3,0,0,100,0,0,0,0,128000,77376,0,0,2388000000,117000000000,6227000000,123000000000,303,282,0,0,3.0,3.28,12.7,7.54,Apr-13,18:40:08,node29-002.cm.cluster,13-04-2023,18:40:08
l:4,0,0,100,0,0,0,66000,119000,22080,0,0,2387000000,117000000000,6227000000,123000000000,293,294,0,0,0,3.28,12.7,7.54,Apr-13,18:40:09,node29-002.cm.cluster,13-04-2023,18:40:09
l:5,0,0,100,0,0,0,0,174000,30528,0,0,2387000000,117000000000,6227000000,123000000000,373,295,0,0,3.0,3.02,12.4,7.50,Apr-13,18:40:10,node29-002.cm.cluster,13-04-2023,18:40:10
l:6,0,0,100,0,0,0,0,109000,22080,0,0,2387000000,117000000000,6227000000,123000000000,249,219,0,0,3.0,3.02,12.4,7.50,Apr-13,18:40:11,node29-002.cm.cluster,13-04-2023,18:40:11
l:7,0,0,100,0,0,0,0,140000,22080,0,0,2387000000,117000000000,6227000000,123000000000,313,266,0,0,3.0,3.02,12.4,7.50,Apr-13,18:40:12,node29-002.cm.cluster,13-04-2023,18:40:12
l:8,0,0,100,0,0,0,0,138000,22080,0,0,2387000000,117000000000,6227000000,123000000000,365,316,0,0,3.0,3.02,12.4,7.50,Apr-13,18:40:13,node29-002.cm.cluster,13-04-2023,18:40:13
l:9,0,0,100,0,0,0,33000,103000,22080,0,0,2387000000,117000000000,6227000000,123000000000,274,248,0,0,0,3.02,12.4,7.50,Apr-13,18:40:14,node29-002.cm.cluster,13-04-2023,18:40:14
l:10,0,0,100,0,0,0,0,105000,22080,0,0,2387000000,117000000000,6227000000,123000000000,251,215,0,0,3.0,2.78,12.2,7.46,Apr-13,18:40:15,node29-002.cm.cluster,13-04-2023,18:40:15
l:11,0,0,100,0,0,0,0,130000,44608,0,0,2387000000,117000000000,6227000000,123000000000,337,268,0,0,3.0,2.78,12.2,7.46,Apr-13,18:40:16,node29-002.cm.cluster,13-04-2023,18:40:16
l:12,0,0,100,0,0,0,0,82000,22080,0,0,2387000000,117000000000,6227000000,123000000000,283,256,0,0,3.0,2.78,12.2,7.46,Apr-13,18:40:17,node29-002.cm.cluster,13-04-2023,18:40:17
l:13,0,0,100,0,0,0,0,73000,37696,0,0,2387000000,117000000000,6227000000,123000000000,261,235,0,0,3.0,2.78,12.2,7.46,Apr-13,18:40:18,node29-002.cm.cluster,13-04-2023,18:40:18
l:14,0,0,100,0,0,0,0,109000,22080,0,0,2387000000,117000000000,6227000000,123000000000,246,236,0,0,0,2.78,12.2,7.46,Apr-13,18:40:19,node29-002.cm.cluster,13-04-2023,18:40:19
l:15,0,0,100,0,0,0,0,107000,22080,0,0,2387000000,117000000000,6227000000,123000000000,254,211,0,0,3.0,2.56,12.0,7.42,Apr-13,18:40:20,node29-002.cm.cluster,13-04-2023,18:40:20
l:16,0,0,100,0,0,0,0,68000,27840,0,0,2387000000,117000000000,6227000000,123000000000,266,256,0,0,3.0,2.56,12.0,7.42,Apr-13,18:40:21,node29-002.cm.cluster,13-04-2023,18:40:21
l:17,0,0,100,0,0,0,0,117000,22080,0,0,2387000000,117000000000,6227000000,123000000000,315,278,0,0,3.0,2.56,12.0,7.42,Apr-13,18:40:22,node29-002.cm.cluster,13-04-2023,18:40:22
l:18,0,0,100,0,0,0,0,86000,22080,0,0,2387000000,117000000000,6227000000,123000000000,207,190,0,0,3.0,2.56,12.0,7.42,Apr-13,18:40:23,node29-002.cm.cluster,13-04-2023,18:40:23
l:19,0,0,100,0,0,0,0,86000,22080,0,0,2387000000,117000000000,6227000000,123000000000,201,186,0,0,0,2.56,12.0,7.42,Apr-13,18:40:24,node29-002.cm.cluster,13-04-2023,18:40:24
l:20,0,0,100,0,0,0,0,115000,30528,0,0,2387000000,117000000000,6227000000,123000000000,306,278,0,0,3.0,2.35,11.8,7.38,Apr-13,18:40:25,node29-002.cm.cluster,13-04-2023,18:40:25
l:21,0,0,100,0,0,0,0,105000,22080,0,0,2387000000,117000000000,6227000000,123000000000,295,260,0,0,3.0,2.35,11.8,7.38,Apr-13,18:40:26,node29-002.cm.cluster,13-04-2023,18:40:26
l:22,2,2,97,0,0,0,0,645000,268000,0,0,2658000000,117000000000,6235000000,122000000000,4750,18000,13,0,155,2.35,11.8,7.38,Apr-13,18:40:27,node29-002.cm.cluster,13-04-2023,18:40:27
l:23,51,14,34,0,0,0,0,121000,52000,0,0,16700000000.0,103000000000,6237000000,108000000000,35000,37000,57,0,483,2.35,11.8,7.38,Apr-13,18:40:28,node29-002.cm.cluster,13-04-2023,18:40:28
l:24,68,3,29,0,0,0,0,110000,32000,0,0,16700000000.0,103000000000,6237000000,108000000000,39000,116000,20,0,0,2.35,11.8,7.38,Apr-13,18:40:29,node29-002.cm.cluster,13-04-2023,18:40:29
l:25,69,4,28,0,0,0,0,114000,22080,0,0,16700000000.0,103000000000,6238000000,108000000000,40000,184000,22,0,3.0,8.01,12.8,7.73,Apr-13,18:40:30,node29-002.cm.cluster,13-04-2023,18:40:30
l:26,68,4,28,0,0,0,0,127000,51392,0,0,16700000000.0,103000000000,6238000000,108000000000,41000,181000,161,0,3.0,8.01,12.8,7.73,Apr-13,18:40:31,node29-002.cm.cluster,13-04-2023,18:40:31
l:27,69,4,27,0,0,0,0,103000,22080,0,0,16700000000.0,103000000000,6238000000,108000000000,41000,193000,20,0,3.0,8.01,12.8,7.73,Apr-13,18:40:32,node29-002.cm.cluster,13-04-2023,18:40:32
l:28,69,4,28,0,0,0,164000,128000,22080,0,0,16700000000.0,103000000000,6238000000,108000000000,39000,182000,309,0,3.0,8.01,12.8,7.73,Apr-13,18:40:33,node29-002.cm.cluster,13-04-2023,18:40:33
l:29,69,4,28,0,0,0,0,105000,22080,0,0,16700000000.0,103000000000,6238000000,108000000000,39000,182000,412,0,0,8.01,12.8,7.73,Apr-13,18:40:34,node29-002.cm.cluster,13-04-2023,18:40:34
l:30,68,3,29,0,0,0,0,90000,22080,0,0,16700000000.0,103000000000,6238000000,108000000000,38000,177000,20,0,3.0,8.97,13.0,7.80,Apr-13,18:40:35,node29-002.cm.cluster,13-04-2023,18:40:35
l:31,68,4,28,0,0,0,0,140000,22080,0,0,16700000000.0,103000000000,6238000000,108000000000,39000,179000,31,0,3.0,8.97,13.0,7.80,Apr-13,18:40:36,node29-002.cm.cluster,13-04-2023,18:40:36
