l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-003.cm.cluster,13-04-2023,18:40:07
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-003.cm.cluster,13-04-2023,18:40:07
l:2,37,8,55,0,0,2681000,661000,0,0,1400,8104,2379000000,119000000000,4124000000,123000000000,4707,12000,0,0,2.5,2.80,9.51,6.34,Apr-13,18:40:07,node29-003.cm.cluster,13-04-2023,18:40:07
l:3,0,0,100,0,0,0,0,133000,77376,0,0,2380000000,119000000000,4124000000,123000000000,311,322,0,0,3.0,2.80,9.51,6.34,Apr-13,18:40:08,node29-003.cm.cluster,13-04-2023,18:40:08
l:4,0,0,100,0,0,0,0,114000,22080,0,0,2380000000,119000000000,4124000000,123000000000,261,240,0,0,3.0,2.80,9.51,6.34,Apr-13,18:40:09,node29-003.cm.cluster,13-04-2023,18:40:09
l:5,0,0,100,0,0,0,0,178000,24768,0,0,2380000000,119000000000,4124000000,123000000000,401,372,0,0,3.0,2.80,9.51,6.34,Apr-13,18:40:10,node29-003.cm.cluster,13-04-2023,18:40:10
l:6,0,0,100,0,0,0,0,104000,22080,0,0,2380000000,119000000000,4124000000,123000000000,230,220,0,0,3.0,2.58,9.36,6.31,Apr-13,18:40:11,node29-003.cm.cluster,13-04-2023,18:40:11
l:7,0,0,100,0,0,0,0,140000,22080,0,0,2380000000,119000000000,4124000000,123000000000,276,240,0,0,0,2.58,9.36,6.31,Apr-13,18:40:12,node29-003.cm.cluster,13-04-2023,18:40:12
l:8,0,0,100,0,0,0,0,138000,22080,0,0,2380000000,119000000000,4124000000,123000000000,322,276,0,0,3.0,2.58,9.36,6.31,Apr-13,18:40:13,node29-003.cm.cluster,13-04-2023,18:40:13
l:9,0,0,100,0,0,0,0,108000,22080,0,0,2380000000,119000000000,4124000000,123000000000,310,302,0,0,3.0,2.58,9.36,6.31,Apr-13,18:40:14,node29-003.cm.cluster,13-04-2023,18:40:14
l:10,0,0,100,0,0,0,0,101000,22080,0,0,2380000000,119000000000,4124000000,123000000000,240,217,0,0,3.0,2.58,9.36,6.31,Apr-13,18:40:15,node29-003.cm.cluster,13-04-2023,18:40:15
l:11,0,0,100,0,0,0,0,127000,22080,0,0,2380000000,119000000000,4124000000,123000000000,314,270,0,0,3.0,2.37,9.20,6.28,Apr-13,18:40:16,node29-003.cm.cluster,13-04-2023,18:40:16
l:12,0,0,100,0,0,0,0,82000,22080,0,0,2380000000,119000000000,4124000000,123000000000,193,180,0,0,0,2.37,9.20,6.28,Apr-13,18:40:17,node29-003.cm.cluster,13-04-2023,18:40:17
l:13,0,0,100,0,0,0,0,73000,37696,0,0,2380000000,119000000000,4124000000,123000000000,270,296,0,0,3.0,2.37,9.20,6.28,Apr-13,18:40:18,node29-003.cm.cluster,13-04-2023,18:40:18
l:14,0,0,100,0,0,0,0,109000,22080,0,0,2380000000,119000000000,4124000000,123000000000,249,224,0,0,3.0,2.37,9.20,6.28,Apr-13,18:40:19,node29-003.cm.cluster,13-04-2023,18:40:19
l:15,0,0,99,0,0,0,0,117000,189000,0,0,2379000000,119000000000,4124000000,123000000000,4245,3899,0,0,3.0,2.37,9.20,6.28,Apr-13,18:40:20,node29-003.cm.cluster,13-04-2023,18:40:20
